2019-02-27 16:22:54 configure mawk:i386 1.3.3-17ubuntu2 1.3.3-17ubuntu2
2019-02-27 16:22:54 status unpacked mawk:i386 1.3.3-17ubuntu2
2019-02-27 16:22:54 status half-configured mawk:i386 1.3.3-17ubuntu2
2019-02-27 16:22:54 status installed mawk:i386 1.3.3-17ubuntu2
2019-02-27 16:22:55 startup archives unpack
2019-02-27 16:22:55 install adduser:all <none> 3.113+nmu3ubuntu4
2019-02-27 16:22:55 status half-installed adduser:all 3.113+nmu3ubuntu4
2019-02-27 16:22:55 status unpacked adduser:all 3.113+nmu3ubuntu4
2019-02-27 16:22:55 status unpacked adduser:all 3.113+nmu3ubuntu4
2019-02-27 16:22:55 upgrade base-files:i386 9.4ubuntu4 9.4ubuntu4
2019-02-27 16:22:55 status half-configured base-files:i386 9.4ubuntu4
2019-02-27 16:22:55 status unpacked base-files:i386 9.4ubuntu4
2019-02-27 16:22:55 status half-installed base-files:i386 9.4ubuntu4
2019-02-27 16:22:55 status half-installed base-files:i386 9.4ubuntu4
2019-02-27 16:22:55 status unpacked base-files:i386 9.4ubuntu4
2019-02-27 16:22:55 status unpacked base-files:i386 9.4ubuntu4
2019-02-27 16:22:55 upgrade base-passwd:i386 3.5.39 3.5.39
2019-02-27 16:22:55 status half-configured base-passwd:i386 3.5.39
2019-02-27 16:22:55 status unpacked base-passwd:i386 3.5.39
2019-02-27 16:22:55 status half-installed base-passwd:i386 3.5.39
2019-02-27 16:22:55 status half-installed base-passwd:i386 3.5.39
2019-02-27 16:22:55 status unpacked base-passwd:i386 3.5.39
2019-02-27 16:22:55 status unpacked base-passwd:i386 3.5.39
2019-02-27 16:22:55 install bash:i386 <none> 4.3-14ubuntu1
2019-02-27 16:22:55 status half-installed bash:i386 4.3-14ubuntu1
2019-02-27 16:22:55 status unpacked bash:i386 4.3-14ubuntu1
2019-02-27 16:22:55 status unpacked bash:i386 4.3-14ubuntu1
2019-02-27 16:22:55 install bsdutils:i386 <none> 1:2.27.1-6ubuntu3
2019-02-27 16:22:55 status half-installed bsdutils:i386 1:2.27.1-6ubuntu3
2019-02-27 16:22:55 status unpacked bsdutils:i386 1:2.27.1-6ubuntu3
2019-02-27 16:22:55 status unpacked bsdutils:i386 1:2.27.1-6ubuntu3
2019-02-27 16:22:55 install coreutils:i386 <none> 8.25-2ubuntu2
2019-02-27 16:22:55 status half-installed coreutils:i386 8.25-2ubuntu2
2019-02-27 16:22:55 status unpacked coreutils:i386 8.25-2ubuntu2
2019-02-27 16:22:55 status unpacked coreutils:i386 8.25-2ubuntu2
2019-02-27 16:22:55 install dash:i386 <none> 0.5.8-2.1ubuntu2
2019-02-27 16:22:55 status half-installed dash:i386 0.5.8-2.1ubuntu2
2019-02-27 16:22:55 status unpacked dash:i386 0.5.8-2.1ubuntu2
2019-02-27 16:22:55 status unpacked dash:i386 0.5.8-2.1ubuntu2
2019-02-27 16:22:55 install debconf:all <none> 1.5.58ubuntu1
2019-02-27 16:22:55 status half-installed debconf:all 1.5.58ubuntu1
2019-02-27 16:22:55 status unpacked debconf:all 1.5.58ubuntu1
2019-02-27 16:22:55 status unpacked debconf:all 1.5.58ubuntu1
2019-02-27 16:22:55 install debianutils:i386 <none> 4.7
2019-02-27 16:22:55 status half-installed debianutils:i386 4.7
2019-02-27 16:22:55 status unpacked debianutils:i386 4.7
2019-02-27 16:22:55 status unpacked debianutils:i386 4.7
2019-02-27 16:22:55 install diffutils:i386 <none> 1:3.3-3
2019-02-27 16:22:55 status half-installed diffutils:i386 1:3.3-3
2019-02-27 16:22:55 status unpacked diffutils:i386 1:3.3-3
2019-02-27 16:22:55 status unpacked diffutils:i386 1:3.3-3
2019-02-27 16:22:55 upgrade dpkg:i386 1.18.4ubuntu1 1.18.4ubuntu1
2019-02-27 16:22:55 status half-configured dpkg:i386 1.18.4ubuntu1
2019-02-27 16:22:55 status unpacked dpkg:i386 1.18.4ubuntu1
2019-02-27 16:22:55 status half-installed dpkg:i386 1.18.4ubuntu1
2019-02-27 16:22:55 status half-installed dpkg:i386 1.18.4ubuntu1
2019-02-27 16:22:55 status unpacked dpkg:i386 1.18.4ubuntu1
2019-02-27 16:22:55 status unpacked dpkg:i386 1.18.4ubuntu1
2019-02-27 16:22:55 install e2fslibs:i386 <none> 1.42.13-1ubuntu1
2019-02-27 16:22:55 status half-installed e2fslibs:i386 1.42.13-1ubuntu1
